Nom de l'offre touristique;Type d'offre;Adresse1;Adresse1Suite;Adresse partie 2;Adresse partie 3;Code postal;Bureau distributeur de l'adresse postale;Commune du lieu de visite;Cedex;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Code Embed pour intégrer une vidéo;Type de plateforme/url;Widget tripadvisor;Secteur d'activité;Labels;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;Groupe accepté: oui / non;Nombre personnes max pour les groupes;Nombre personnes min pour les groupes;Langues parlées à l'accueil;Appellation pour les vins;Dégustations gratuites: oui / non;Salle équipée pour dégustation: oui / non;Vente à la propriété: oui / non;Durée de visite pour les individuels;Durée de visite pour les groupes;Visites guidées proposées aux groupes en permanence: oui / non;Visites guidées proposées aux groupes sur demande: oui / non;Visites libres proposées aux groupes en permanence: oui / non;Visites pédagogiques proposées aux groupes en permanence: oui / non;Visites guidées proposées aux individuels en permanence: oui / non;Visites guidées proposées aux individuels sur demande: oui / non;Langue(s) parlée(s) pendant les visites;Visites libres proposées aux individuels en permanence: oui / non;Les offres proposées;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Moyen(s) de réservation en ligne;Centrale de réservation en ligne?;Tarif gratuit : oui / non;Tarif;Modes de paiement acceptés;localisation;departement
AUX GRENIERS DU TURET;Plantes et fleurs;;;Le Turet;;53370;;CHAMPFREMONT;;53052;48.4218528;-0.1180302;"Route (nationale/départ.)||départementale - à 9km, nationale||2;Aéroport/aérodrome||Alençon||20;Gare SNCF||Alençon||20;Gare routière||Alençon||20";;02.43.03.68.03;;;;;;;;Artisanat / Art;;;oui;tenus en laisse dans les jardins;oui;50;15;;;;non;oui;;;;;;;;;"Français;Anglais";;;;;CHOLET||02.43.03.68.03||;;;;;"Chèques bancaires et postaux;Espèces";48.4218528,-0.1180302;Mayenne
CREATEUR PLASTICIEN;;;La rougeollière;Route de Vancé;La Chapelle Gaugain;72310;;LOIR EN VALLÉE;;72262;47.8041061;0.654631;Route (nationale/départ.)||Vancé/La Chapelle Gaugain||2,8;;02 43 35 55 54;;moulenes.philippe@gmail.com;http://www.philideco.over-blog.com;;;;;Artisanat / Art;Métiers d'art;;oui;;non;;;;;non;non;oui;;;non;non;non;non;non;oui;"Français;Anglais";oui;;;;;;;oui;;Chèques bancaires et postaux;47.8041061,0.654631;Sarthe
FABRIQUE DES BIERES D'ANJOU;"Bières;Spiritueux";;;La Gare;La Ménitré;49250;;LA MENITRE;;49201;47.3987435;-0.2774628;"Route (nationale/départ.)||||0,05;Autoroute||||20;Aéroport/aérodrome||||30;Gare SNCF||||0,1;Gare routière||||25;Transport en commun||||0,1;Halte fluviale||||0,6";;02 41 57 62 78;;contact@lapiautre.fr;http://www.lapiautre.fr;;"<iframe width=""871"" height=""490"" src=""https://www.youtube.com/embed/WMTJWDBko_Q?list=PLla1LKX3QasyoL0gvJRzPupZ9Jp3xOe8w"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer;autoplay;clipboard-write;encrypted-media;gyroscope;picture-in-picture"" allowfullscreen></iframe><span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>";Facebook||https://www.facebook.com/lapiautre/;;Artisanat / Art;;;oui;;oui;25;2;"Anglais;Français";;oui;oui;oui;;;;oui;;;;oui;Français;oui;;oui;01/01/2022||31/12/2022||||||||||||||||||||||14:30||18:00||||||14:30||18:00||||||14:30||18:00||||||09:30||12:00||14:30||18:30||||||||;Amélie Lesimple||02 41 57 62 78||contact@lapiautre.fr;;;oui;Tarif indiv. adulte||2,40||||bierre 33 cl;Chèques bancaires et postaux;47.3987435,-0.2774628;Maine-et-Loire
LA MINEE;Vins;;;La Minée;Ruillé sur Loir;72340;;LOIR EN VALLÉE;;72262;47.749238;0.60033999;"Route (nationale/départ.)||||0,4;Autoroute||la Ferté Berbard et 20 Km Montabon||80";06 78 84 68 19;02 43 44 29 65;02 43 79 25 25;vins.janvier@orange.fr;;;;;;Viticulture;;;;;oui;20;;Français;"Coteaux du Loir;Jasnières";oui;oui;oui;;;;;non;;non;;Français;non;;;||||Ouvert toute l'année sur rendez-vous||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;Chèques bancaires et postaux;47.749238,0.60033999;Sarthe
LES DELICES DE LA RIGAUDAIS;Fruits / légumes;;;6 La Rigaudais;;44480;;DONGES;;44052;47.33095;-2.05854;Transport en commun||Ligne T4 - Arrêt Guy Cadou||1,3;06 75 86 31 79;;;lesdelicesdelarigaudais@hotmail.com;https://www.lesdelicesdelarigaudais.fr/;;;Facebook||https://www.facebook.com/Les-D%C3%A9lices-de-la-Rigaudais-1412050502195856/;;Agriculture / horticulture / Pêche;Bienvenue à la Ferme;;;;;;;;;;;;;;;;;;;;;;;non;01/01/2022||31/12/2022|| Magasin ouvert de septembre à fin mai le mercredi et vendredi de 14h à 18h et le samedi de 9h à 12h30.||||||||||||||||||||||||14:00||18:00||||||||||||||14:00||18:00||09:00||12:30||||||||||||;;;;;;;47.33095,-2.05854;Loire-Atlantique
STÉPHANE CHAUVE;Viande;;;12 rue la Rivaudais;;44480;;DONGES;;44052;47.32047;-2.05962;Transport en commun||Ligne T4 - Arrêt Raffinerie||0,9;06 62 01 56 36;;;fabrice.yves@orange.fr;;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.32047,-2.05962;Loire-Atlantique
DOMAINE DU PLESSIS;Vins;;;;;49380;;BELLEVIGNE-EN-LAYON;;49345;47.297009;-0.5161789;;;02 41 54 01 04;;lecomte.girault@wanadoo.fr;;;;;;Viticulture;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.297009,-0.5161789;Maine-et-Loire
L'ATELIER DE LA YOURTE - OSIER EN MAYENNE;Vannerie;;;;;;;SACE;;53195;48.17995;-0.68249;;06 98 89 73 22;;;latelierdelayourte@gmail.com;http://latelierdelayourte-osier.fr/;;;"Facebook||https://www.facebook.com/atelierdelayourte;Instagram||https://www.instagram.com/latelierdelayourte/";;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;48.17995,-0.68249;Mayenne
ETIENNE RENVOIZÉ;Fruits / légumes;;;;;72400;;SAINT-AUBIN-DES-COUDRAIS;;72267;48.17271;0.58527;;06 01 64 46 20;;;;;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.17271,0.58527;Sarthe
DANIELLE WILLOQUEAUX-LACOSTE - PEINTURE;Peinture;;;;;72470;;SAINT-MARS-LA-BRIERE;;72300;48.0290466;0.3702594;;;;;daniellewilloqueaux@gmail.com;;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.0290466,0.3702594;Sarthe
FERME DE BEAUSSAY;"Confiture;Fromage et produit laitier";;;;Beaussay;72220;;ECOMMOY;;72124;47.8122688;0.30136855;;06 32 14 29 54;02 43 83 03 85;;fermedebeaussay@orange.fr;www.fermedebeaussay.fr;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;oui;;;;oui;;;;;;;"Proposition clientèle||DEG878000564;Proposition clientèle||DEGPDL072V5001ET";;;;;;;;;47.8122688,0.30136855;Sarthe
CHEVRERIE DU CHENE BEUNARD;Fromage et produit laitier;;;;Chêne Beunard;72210;;VOIVRES-LES-LE-MANS;;72381;47.9246379;0.044605;;06 12 26 23 20;06 12 26 23 20;;;;;;Facebook||https://www.facebook.com/La-ch%C3%A8vrerie-du-ch%C3%AAne-beunard-1132270503485049;;Agro-alimentaire;Agriculture Biologique (AB);;oui;;;;;Français;;;;oui;;;;;;;;;;;;non;01/03/2022||30/11/2022||||||||||||||||||||||10:00||12:00||||||10:00||12:00||||||10:00||12:00||||||10:00||12:00||||||||||||;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.9246379,0.044605;Sarthe
AUX SAVEURS D'ANTAN;Viande;;;;Courteuvre;53700;;VILLAINES-LA-JUHEL;;53271;48.343309;-0.3078416;;06 89 78 71 20;;;fabien.boitiere@wanadoo.fr;;;;;;Agro-alimentaire;;;;;;;;;;;;oui;;;;;;;;;Français;;;oui;||||||||||||||||||||||||09:00||12:00||14:00||18:00||||||||||09:00||12:00||14:00||18:00||09:00||12:00||||||||||||;;;;;;"Chèques bancaires et postaux;Espèces";48.343309,-0.3078416;Mayenne
FABIENNE ET MICKAEL RUEL - LE TANDEM;Viande;;;;Guerespeigné;72110;;SAINT-GEORGES-DU-ROSAY;;72281;48.198543;0.49966;;06 13 69 05 84;;;letandem.72@orange.fr;;;;;;Agriculture / horticulture / Pêche;;;;;;;;Français;;;oui;oui;;;non;oui;non;;non;oui;Français;non;;oui;;M. ET MME RUEL||06 13 69 05 84||;;;;;Chèques bancaires et postaux;48.198543,0.49966;Sarthe
ATELIER - BOIS;Travail du bois;;;;la Basse-Beucherie;53160;;BAIS;;53016;48.2420179;-0.3774131;;06 07 86 31 71;;;audetourdesbois@gmail.com;;;;Facebook||https://www.facebook.com/Au-D%C3%A9tour-des-Bois-121724264633628;;Artisanat / Art;;;;;;;;Français;;;;;;;;;;;;;;;;non;15/04/2022||30/10/2022||Sur demande||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;"Tarif indiv. adulte||80,00||||;Tarif indiv. enfant||45,00||||Enfant de 10 à 14 ans";;48.2420179,-0.3774131;Mayenne
EARL PICOTI;Volailles / Oeufs;;;;La Bouillonnaie;44540;;VALLONS-DE-L'ERDRE;;44180;47.5247487;-1.1836084;;;02 41 92 83 27;02 41 92 83 27;earl.picoti@gmail.com;;;;;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.5247487,-1.1836084;Loire-Atlantique
LE JARDIN DE LA BOULONNIERE;Fruits / légumes;;;;La Boulonnière;53290;;GREZ-EN-BOUERE;;53110;47.8913578;-0.5318725;;;02 43 70 66 78;;;;;;Facebook||https://www.facebook.com/jardindelaboulonniere;;Agriculture / horticulture / Pêche;"Bienvenue à la Ferme;Haute valeur environnementale (HVE)";;oui;;;;;"Anglais;Français";;;;oui;;;non;non;non;non;non;non;;non;;oui;01/01/2022||31/12/2022||||||14:00||18:30||||||||||||||09:30||12:30||14:00||18:30||||||||||14:00||18:30||||||09:30||12:30||||||||||||;Le Jardin de la Boulonnière||02 43 70 66 78||;;;;;"Chèques bancaires et postaux;Espèces";47.8913578,-0.5318725;Mayenne
LA FERME DES PRÉS D'ORÉE;"Fromage et produit laitier;Viande";;;;La Fontaine - SAINT SAUVEUR DE LANDEMONT;49270;;OREE D'ANJOU;;49069;47.2965036;-1.2747317;;06 17 25 20 35;;;lespresdoree@gmail.com;;;;Facebook||https://www.facebook.com/lafermedespresdoree/;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.2965036,-1.2747317;Maine-et-Loire
FERME DE LA FORGE;"Rillettes;Salaisons;Viande";;;;la forge;72260;;MAROLLES-LES-BRAULTS;;72189;48.2516122;0.3034012;;;0243974134;;fermedelaforge@hotmail.fr;www.fermedelaforge.fr;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;oui;;;;;;;;;;;;oui;;;;;;;"Cartes bancaires;Chèques bancaires et postaux";48.2516122,0.3034012;Sarthe
GAEC TERRIEN;"Viande;Volailles / Oeufs";;;;La Herriere - SAINT-LAURENT-DES-AUTELS;49270;;OREE D'ANJOU;;49069;47.28449;-1.185108;;;02 40 09 02 36;;gaecterrien49@orange.fr;www.gaecterrien.fr;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;||https://www.gaecterrien.fr/bv.stp?ACTION=ACCUEIL&CAT=produits||||||;oui;;;;47.28449,-1.185108;Maine-et-Loire
FERME DE LA MALETIÈRE;"Fruits / légumes;Huile";;;;La Maletière;53600;;MEZANGERS;;53153;48.1893728;-0.4565346;;06 20 06 89 45;;;cathylubel@orange.fr;https://www.facebook.com/Huile-des-Co%C3%ABvrons-253927075352956/?ref=bookmarks;;;;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;Français;;;;oui;;;;;;;;;"Français;Allemand;Anglais";;;oui;||||||Vente à la ferme sur rendez-vous||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;"Chèques bancaires et postaux;Espèces";48.1893728,-0.4565346;Mayenne
EARL CUSSONNEAU;Viande;;;;La Menardiere - BOUZILLE;49270;;OREE D'ANJOU;;49069;47.3266472;-1.0978059;;;02 40 98 12 16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.3266472,-1.0978059;Maine-et-Loire
FERME DE LA MORINIERE;Viande;;;;La Morinière;72800;;SAINT-GERMAIN-D'ARCE;;72283;47.600951;0.2968157;;06 82 37 84 47;;;pmloyau@orange.fr;;;;Facebook||https://www.facebook.com/Ferme-de-la-Moriniere-1612087905764072/;;Agro-alimentaire;Bienvenue à la Ferme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.600951,0.2968157;Sarthe
LES PELOTES À PATTES;"Elevage;Laine;Textile / Habillement / Chaussure";;;;le bois de la pointe;72210;;ROEZE-SUR-SARTHE;;72253;47.8624;0.08795;;06 11 26 12 10;;;beaufils.marie@yahoo.fr;;;;Facebook||https://www.facebook.com/PelotesAPattes;;Agriculture / horticulture / Pêche;;;;;;;;;;;;oui;;;;;;;;oui;;;;oui;01/01/2022||31/12/2022||Visite de l'élevage et de la boutique uniquement sur RDV||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.8624,0.08795;Sarthe
VENTE DE LEGUMES - JOHAN DRÛLÉ/GRAIN DANS L'SON;Fruits / légumes;;;;Le chêne blanc;53470;;COMMER;;53072;48.2305281;-0.5860832;;07 50 01 04 23;;;johan.drule@lilo.org;;;;Facebook||https://www.facebook.com/Grain-dans-LSon-100156525607316;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;Français;;;;oui;;;;;;;;;;;;oui;;Johan Drûlé||07 50 01 04 23||johan.drule@lilo.org;;;oui;;"Chèques bancaires et postaux;Espèces";48.2305281,-0.5860832;Mayenne
LE ROC AU LOUP;Viande;;;;Le Roc au loup;53240;;ANDOUILLE;;53005;48.1627114;-0.7741532;;06 26 31 98 77;;;le.roc.au.loup@wanadoo.fr;;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;oui;;||06 26 31 98 77||le.roc.au.loup@wanadoo.fr;;;;;"Chèques bancaires et postaux;Espèces";48.1627114,-0.7741532;Mayenne
BERGERIE FROMAGERIE LES DEUX EVES;Fromage et produit laitier;;;;Les deux Eves;72800;;SAVIGNE-SOUS-LE-LUDE;;72330;47.6410661;0.03024771;;07 86 41 98 76;02 43 45 34 54;;nicofleurance1@gmail.com;;https://www.youtube.com/watch?v=NisPlWuV0Ko;;Facebook||https://www.facebook.com/bergeriefromagerielesdeuxeves/;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;non;;;;;oui;;;47.6410661,0.03024771;Sarthe
AZAÏS ARTISANE CRÉATRICE;Bijou;;;;Lieu-dit La Tribourgere;53360;;ORIGNE;;53172;47.9507672;-0.7350968;;06 22 67 50 60;;;azais.artisane@gmail.com;https://www.azais-artisane.fr;;;"Facebook||https://www.facebook.com/azais.artisane/;Instagram||https://www.instagram.com/azais.artisane/";;Artisanat / Art;;;;;;;;Anglais;;non;;oui;;;;;;;;;Français;;;oui;;Anaïs BAZIN||06 22 67 50 60||azais.artisane@gmail.com;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces;Virement";47.9507672,-0.7350968;Mayenne
FERME DES ALIZÉS;"Produits du terroir (boutique);Rillettes;Viande;Volailles / Oeufs";;;;Mérolles;72540;;VALLON-SUR-GEE;;72367;47.9517295;-0.0994741;;06 73 55 67 10;;;gaeclesalizes@gmail.com;http://www.ferme-les-alizes-72.com/;https://youtu.be/BwvviQ8tCfA;;"Facebook||https://www.facebook.com/gaeclesalizes/;Instagram||https://www.instagram.com/gaec_les_alizes/?fbclid=IwAR1mQ2Gi8qU9VHZYwG07UOxJPbUzsmD0oTj9OjJWkldUwypBDb_jDUIr2Ws";;"Agriculture / horticulture / Pêche;Agro-alimentaire";Bienvenue à la Ferme;;;;;;;Français;;oui;oui;oui;;;;oui;non;oui;;oui;Français;non;;;01/01/2022||31/12/2022||Ouvert pendant nos ventes (1 fois par mois pour la viande rouge et le veau de sept à mars) et sur demande||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces;Virement";47.9517295,-0.0994741;Sarthe
GAEC ALP-ROUSSE;"Fromage et produit laitier;Viande";;;1 La Pacauderie;;44320;;SAINT-PERE-EN-RETZ;;44187;47.19475;-2.04985;;06 72 32 30 42;02 40 21 83 99;;augustin.deniaud@wanadoo.fr;http://www.gaec-alprousse.fr/;;;;;Agro-alimentaire;Agriculture Biologique (AB);;;;;;;;;;;oui;;;;;;;;;;;;;"01/10/2021||24/12/2021||||||||||||||||||||||||||||||||||||||17:00||19:00||||||||||||||||||||;01/03/2022||31/05/2022||||||||||||||||||||||||||||||||||||||17:00||19:00||||||||||||||||||||;01/06/2022||30/09/2022||||||||||||||||||||||||||||||||||||||16:00||19:00||||||||||||||||||||";;;;;;"Chèques bancaires et postaux;Espèces";47.19475,-2.04985;Loire-Atlantique
LA FERME AU GOÛT DU PORC - EARL DES RAIRIES;Viande;;;1 Les Rairies;SAINT-LAURENT-DU-MOTTAY;49410;;MAUGES-SUR-LOIRE;;49244;47.330145;-0.960083;;;02 41 57 78 13;;commande.porc.rairies@orange.fr;http://www.laferme-augoutduporc.fr/;;;Facebook||https://www.facebook.com/La-Ferme-au-Go%C3%BBt-du-Porc-GAEC-des-Rairies-1544059935632952/;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;non;;;;;;;;47.330145,-0.960083;Maine-et-Loire
OSTRÉICULTEURS JOSSO;"Fruits de mer;Produits du terroir (boutique)";;;1 Route de l'Estran;Pen Bé;44410;;ASSERAC;;44006;47.4255;-2.45483;;;02 40 01 74 12;;ets.josso@orange.fr;https://www.huitresjosso.bzh/;;;;;Activités de la mer;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2020||31/12/2020||||||15:00||19:00||||||09:00||12:30||15:00||19:00||09:00||12:30||15:00||19:00||09:00||12:30||15:00||19:00||09:00||12:30||15:00||19:00||09:00||12:30||15:00||19:00||09:00||12:30||||;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.4255,-2.45483;Loire-Atlantique
VINO VINI;Spiritueux;;;1 rue de la Briquerie;Parc d'Activités de Villejames;44350;;GUERANDE;;44069;47.3249;-2.41089;;;02 40 45 96 65;;vino.vini4@orange.fr;http://www.vinovini.fr;;;;;Viticulture;;;;;;;;;;;;;;;;;;;;;;;;;||||||||||||||||09:30||12:30||15:00||19:30||09:30||12:30||15:00||19:30||09:30||12:30||15:00||19:30||09:30||12:30||15:00||19:30||09:30||12:30||15:00||19:30||09:30||12:30||||;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.3249,-2.41089;Loire-Atlantique
DOMAINE DES SAULAIES;Vins;;;1 rue des monts;Faye d'Anjou;49380;;BELLEVIGNE-EN-LAYON;;49345;47.294365;-0.523355;;;02 41 54 30 66;;contact@domainedessaulaies.fr;http://www.domainedessaulaies.fr/;;;;;Viticulture;;;;;;;;;"Anjou Blanc;Anjou Rouge;Anjou Villages;Cabernet d'Anjou;Coteaux du Layon;Crémant de Loire;Rosé de Loire";;;;;;;;;;;;;;;;;;;;;;;47.294365,-0.523355;Maine-et-Loire
ARCHIVES MUNICIPALES ET COMMUNAUTAIRES;;;;1 Rue Prosper Brou;;53000;;LAVAL;;53130;48.076861;-0.765522;;;0243494526;;;;;;;;Industrie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.076861,-0.765522;Mayenne
ATELIER ART DE LA RELIURE;Décoration d'intérieur;;;1 Square des Lutins;;49300;;CHOLET;;49099;47.0505872;-0.8800461;;;02 41 56 05 22;;catherinedebarre@yahoo.fr;http://catherinedebarre.com;;;;;Artisanat / Art;;;;;;;;Français;;;;;;;;;;;;;;;;oui;;;||http://www.catherinedebarre.com/||||02 41 56 05 22||catherinedebarre@yahoo.fr;oui;;;;47.0505872,-0.8800461;Maine-et-Loire
DOMAINE LEROUX GÉRARD;Vins;;;1, Impasse des Jardins;Les Verchers-sur-Layon;49700;;DOUÉ-EN-ANJOU;;49125;47.15332;-0.29623;;06 86 86 27 53;02 41 59 17 59;;lauriane.blondeau@vinsgerardleroux.fr;https://www.vinsgerardleroux.fr;;;;;Viticulture;Agriculture Biologique (AB);;oui;;;;;"Anglais;Français";"Anjou Blanc;Anjou Rouge;Cabernet d'Anjou;Coteaux du Layon;Rosé d'Anjou;Rosé de Loire;Saumur Brut";;;;;;oui;;;;oui;;;;;;;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.15332,-0.29623;Maine-et-Loire
DOMAINE DE LA GIRARDRIE SCEA FALLOUX ET FILS;Vins;;;1, rue de la Fontaine de Cix;;49260;;LE PUY-NOTRE-DAME;;49253;47.11483;-0.24216;;;02 41 52 25 10;02 41 38 83 77;;;;;;;Viticulture;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.11483,-0.24216;Maine-et-Loire
DOMAINE DU CLOS SAINT-MAUR;Vins;;;1, rue du Château - Sanziers;;49260;;LE PUY-NOTRE-DAME;;49253;47.11805;-0.20553;;07 88 45 13 44;02 41 52 26 84;;vincentroulleau49@gmail.com;;;;"Facebook||https://fr-fr.facebook.com/pages/category/Wine-Spirits/Domaine-du-Clos-St-Maur-1522813127973172/;Tripadvisor||https://www.tripadvisor.fr/Attraction_Review-g1080868-d7207113-Reviews-Domaine_du_Clos_Saint_Maur-Le_Puy_Notre_Dame_Maine_et_Loire_Pays_de_la_Loire.html";;Viticulture;;;;;;;;;"Cabernet d'Anjou;Rosé d'Anjou;Saumur Blanc;Saumur Brut;Saumur Puy Notre Dame;Saumur Rouge";oui;oui;oui;;;;;;;;;Français;;;;;;;;;;"Chèques bancaires et postaux;Espèces";47.11805,-0.20553;Maine-et-Loire
BRASSERIE GESLIN;Bières;;;10 Rue de Belle Lune;;53300;;AMBRIERES-LES-VALLEES;;53003;48.4049783;-0.6330165;;02 49 88 27 13;;;brasseriegeslin@gmail.com;www.brasseriegeslin.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;oui;01/07/2019||31/12/2022||Sur rendez-vous uniquement||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;;48.4049783,-0.6330165;Mayenne
LES ARTISANS DU COIN;"Bijou;Poterie;Vannerie";;;11 rue de la Juiverie;;44350;;GUERANDE;;44069;47.32711;-2.42797;;;06 83 27 81 43;;creathome@free.fr;http://www.creathome.net;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;15/06/2021||15/09/2021||||||10:00||19:00||||||10:00||19:00||||||10:00||19:00||||||10:00||19:00||||||10:00||19:00||||||10:00||19:00||||||10:00||19:00||||;;;;;;;47.32711,-2.42797;Loire-Atlantique
LA FERME GOBIN;Viande;;;11 rue des Lilas, la Chauvière;;44650;;LEGE;;44081;46.8888182;-1.5630958;;;;;;;;;;;Agro-alimentaire;;;;;;;;;;;;oui;;;;;;;;;Français;;;oui;;;;;;;;46.8888182,-1.5630958;Loire-Atlantique
LA FERME DU CORMIER;Fruits / légumes;;;12 impasse du Cormier;Kerhudal;44350;;SAINT-MOLF;;44183;47.3469;-2.39748;;06 77 19 18 25;06 89 15 72 53;;domleroux@orange.fr;;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.3469,-2.39748;Loire-Atlantique
LE PONCEAU ESAT-R;Fruits / légumes;;;12 rue de la Gare;;53800;;LA SELLE-CRAONNAISE;;53258;47.8419463;-1.0440751;;;02 43 06 16 04;;esatleponceau@wanadoo.fr;http://leponceau.over-blog.com/;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.8419463,-1.0440751;Mayenne
DOMAINE DE TROMPE-TONNEAU;Vins;;;12, rue du Layon;Favraye Machelles;49380;;BELLEVIGNE-EN-LAYON;;49345;47.237481;-0.4976921;;06 86 15 76 92;02 41 54 14 95;02 41 54 03 88;guillet@trompetonneau.com;http://www.trompetonneau.com/;;;;;Viticulture;"Caves touristiques vignoble de Loire;Vignobles et découvertes";;;;;;;"Anglais;Français";"Anjou Blanc;Anjou Gamay;Anjou Rouge;Anjou Villages;Bonnezeaux;Cabernet d'Anjou;Coteaux du Layon;Coteaux du Layon avec dénomination géographique;Crémant de Loire;Rosé de Loire";oui;;;;;oui;;;;oui;;;;;oui;;;;;oui;;Cartes bancaires;47.237481,-0.4976921;Maine-et-Loire
Ô BAR'BU;;;;151 Avenue du Général de Gaulle;;44500;;LA BAULE-ESCOUBLAC;;44055;47.28639;-2.39173;;;02 40 23 74 27;;dugast.loic@gmail.com;http://www.obarbu.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.28639,-2.39173;Loire-Atlantique
AUX REMPARTS DE GUÉRANDE;"Bijou;Jouet et jeu;Textile / Habillement / Chaussure";;;2 carrefour de la Psalette;;44350;;GUERANDE;;44069;47.32806;-2.42958;;06 68 94 07 02;02 40 62 08 16;;auxrempartsdeguerande@gmail.com;http://www.art-medieval.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"||||PENDANT LES VACANCES SCOLAIRES TOUS LES JOURS||||||||||||||||||||||||||||||||||||||||||||11:00||13:00||14:30||19:00||||||||;01/04/2021||31/10/2021||||||14:30||19:00||||||14:30||19:00||||||14:30||19:00||||||14:30||19:00||||||14:30||19:00||||||14:30||19:00||||||14:30||19:00||||";;;;;;;47.32806,-2.42958;Loire-Atlantique
VOLAILLES DES RONDELIÈRES;Volailles / Oeufs;;;2 Lieu-dit Les Petites Rondelières;;44270;;SAINT-ETIENNE-DE-MER-MORTE;;44157;46.93292;-1.6944;;;;;;https://www.volailles-des-rondelieres.fr/;;;;;Agro-alimentaire;;;;;;;;Français;;;;oui;;;;;;;;;;;;oui;;;;;;;;46.93292,-1.6944;Loire-Atlantique
L'ATELIER D'ISA;;;;2 rue du Ronceray;;49140;;CORNILLE-LES-CAVES;;49107;47.4975527;-0.300565;;06 13 84 79 74;;;latelierdisa@orange.fr;;;;;;Artisanat / Art;;;oui;;;;;Anglais;;;;;;;;;;;;;Français;oui;;oui;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;"Chèques bancaires et postaux;Espèces";47.4975527,-0.300565;Maine-et-Loire
