Nom de l'offre touristique;Catégorie de l'offre;Type de l'offre;Adresse1;Adresse partie 1 suite;Adresse2;Adresse3;Code postal;Nom de la commune;Cedex de l'adresse postale;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Présence sur plateforme(s) communautaire(s);Code Embed pour intégrer une video;Widget tripadvisor;Equipements;Labels;Chaînes;Classement dans un label;CLassement pour le label Logis;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;SPaccessibilite;Présence l'offre sur les grands itinéraires vélo;Nombre chambres;Nombre chambres familiales;Nombre chambres pour accès à mobilité réduite;Groupe accepté: oui / non;Langues parlées à l'accueil;Présence salle de réunion: oui / non;Ouverture 24h / 24h: oui / non;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Moyen(s) de réservation en ligne;Centrale de réservation en ligne?;Tarifs;Modes de paiement acceptés;localisation;departement
BON PASTEUR HOSTELLERIE;2 étoiles;Hôtel;;;18 rue Marie Euphrasie Pelletier;;49100;ANGERS;;49007;47.47095;-0.56951;;;02 41 72 12 80;02 41 72 18 99;;http://www.bonpasteur-hostellerie.org;;;;;"Restaurant;WiFi";"Accueil Vélo;Clef Verte;Group'A Vélo;La Loire à vélo;Rando Accueil;UNAT";;;;"Déficience auditive;Déficience mentale;Déficience moteur;Déficience visuelle";;;oui;"EV6-La Loire à Vélo;La Vallée du Loir à vélo;Vélo Francette - Halage Mayenne;Vélo Francette - Loire à Vélo";93;3;;;"Anglais;Espagnol;Français";oui;;oui;"01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces;Virement";47.47095,-0.56951;Maine-et-Loire
LE CORMIER 9;2 étoiles;Hôtel;;;2 rue Monge;;49300;CHOLET;;49099;47.0326;-0.91;;;02 41 62 46 24;;;https://hotel-le-cormier9.fr;https://angers-cholet-saumur.ingenie.fr/images/prestataires/le-cormier-9-covid-19-1950256.mp4;Tripadvisor||;;"<div id=""TA_selfserveprop397"" class=""TA_selfserveprop"">;<ul id=""aDDhxUHvtFgC"" class=""TA_links NgVSrtl3"">;<li id=""RdBKmNn"" class=""tNK7ayrJ"">;<a target=""_blank"" href=""https://www.tripadvisor.fr/""><img src=""https://www.tripadvisor.fr/img/cdsi/img2/branding/150_logo-11900-2.png"" alt=""TripAdvisor""/></a>;</li>;</ul>;</div>;<script src=""https://www.jscache.com/wejs?wtype=selfserveprop&amp;uniq=397&amp;locationId=1224120&amp;lang=fr&amp;rating=true&amp;nreviews=2&amp;writereviewlink=true&amp;popIdx=false&amp;iswide=true&amp;border=false""></script>";WiFi;;;;;;oui;sous condition;non;;15;3;1;;"Anglais;Français";;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces;Virement";47.0326,-0.91;Maine-et-Loire
HÔTEL IENA;2 étoiles;Hôtel;;;27 rue Marceau;;49100;ANGERS;;49007;47.46642;-0.55919;;;02 41 87 52 40;02 52 35 01 69;;http://www.hotel-iena-angers.com;;;;;WiFi;"Accueil Vélo;La Loire à vélo";;;;;oui;4,55€;non;"EV6-La Loire à Vélo;La Vallée du Loir à vélo;Vélo Francette - Halage Mayenne;Vélo Francette - Loire à Vélo";26;;;;"Allemand;Anglais;Français";;;;"02/06/2020||31/12/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;;"Cartes bancaires;Chèques Vacances;Espèces;Virement";47.46642,-0.55919;Maine-et-Loire
HÔTEL SAINT-PAUL;2 étoiles;Hôtel - Restaurant;;;28-30 rue Nationale;;49680;VIVY;;49378;47.324941;-0.05553;;;02 41 53 07 20;02 41 52 58 96;;https://www.hotel-st-paul.fr/;;"Tripadvisor||;Facebook||https://www.facebook.com/StPaulVivy;Google+||https://maps.google.com/?cid=5423114625862394930";;;"Local vélo;Piscine;Restaurant;WiFi";Qualité Tourisme;Logis;;Hôtel Essentiel;;oui;6 €;non;;24;1;1;;"Anglais;Espagnol;Français";oui;;;"10/01/2022||07/08/2022||Lundi, Mardi, Mercredi, Jeudi, Vendredi, Samedi : 07h à 23h;Dimanche : 07h à 17h||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;22/08/2022||23/12/2022||Lundi, Mardi, Mercredi, Jeudi, Vendredi, Samedi : 07h à 23h;Dimanche : 07h à 17h||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;||http://resa.ot-saumur.fr/reserver/hotel/zsstpaul.html||||02 41 40 20 60||resa@ot-saumur.fr;oui;"Petit-déjeuner / pers||8,00||8,00||;Chambre double||55,00||75,00||;Demi-pension||25,00||30,00||;Taxe de séjour / nuit / pers||0,90||0,90||";"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Tickets Restaurant;Virement";47.324941,-0.05553;Maine-et-Loire
L'ESTACADE;3 étoiles;Hôtel - Restaurant;;;4 quai du Lénigo;;44490;LE CROISIC;;44049;47.29746;-2.5146;;;02 40 23 03 77;;;http://www.lestacade.net;;;;;Restaurant;;;;;;;;;;15;;;;Anglais;;;;;;;;;;47.29746,-2.5146;Loire-Atlantique
LE PETIT RUNGIS;;Hôtel - Restaurant;;;57 boulevard Gustave Roch;;44100;NANTES;;44109;47.201237;-1.554634;;;02.40.47.81.64;;;www.hotelpetitrungis.fr;;;;;;;;;;;;;non;;;;;;;;;;;;;;;;47.201237,-1.554634;Loire-Atlantique
APPART CITY ANGERS - APPART'HOTEL & RÉSIDENCE;3 étoiles;Hôtel;;;59 rue de Rennes;;49100;ANGERS;;49007;47.47757;-0.54877;;;02 36 81 32 87;;;http://appartcity.com;;;;;WiFi;Clef Verte;;;;;oui;8€;non;;125;16;4;;"Anglais;Espagnol;Français";;;;"01/01/2020||15/03/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;02/06/2020||31/12/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;;"Cartes bancaires;Chèques Vacances;Espèces";47.47757,-0.54877;Maine-et-Loire
HÔTEL KYRIAD ANGERS OUEST - BEAUCOUZÉ;3 étoiles;Hôtel;;;8 avenue Aliénor d'Aquitaine;;49070;BEAUCOUZE;;49020;47.46076;-0.61748;;;02 52 57 00 39;+3 31 42 91 95 94;;https://angers-ouest-beaucouze.kyriad.com/fr-fr/;;;;;"Climatisation;WiFi";;Kyriad;;;;;;;;54;;4;;"Anglais;Français";oui;;;"01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces";47.46076,-0.61748;Maine-et-Loire
LE GRAND HÔTEL;Non classé;Hôtel - Restaurant;;;9 Place de la Mairie;;44320;SAINT-PERE-EN-RETZ;;44187;47.20754;-2.04457;;06 99 56 70 05;02 40 21 70 10;;;http://www.grand-hotel-pension.fr/;;;;;"Restaurant;WiFi";;;;;;;;non;;14;;;;Français;;;;;;;;;;47.20754,-2.04457;Loire-Atlantique
HOTEL RESTAURANT AU PETIT BAUGEOIS;Non classé;Hôtel - Restaurant;;;9 Rue Principale;Echemiré;49150;BAUGE-EN-ANJOU;;49018;47.5518133;-0.1695846;;;02 41 82 23 07;;;https://www.aupetitbaugeois-hotel-restaurant.fr/;;Facebook||https://www.facebook.com/stephanie.antho.71;;;"Restaurant;WiFi";;;;;;;;non;;3;;;;;;;oui;17/10/2021||31/12/2022||||||08:00||14:00||17:00||19:30||08:00||14:00||17:00||19:30||08:00||13:30||||||08:00||14:00||17:00||19:30||08:00||14:00||17:00||20:00||09:00||13:30||||||||||||;||02 41 82 23 07||;;;"Chambre single||40,00||||;Chambre double||50,00||||;Petit-déjeuner / pers||6,80||||";;47.5518133,-0.1695846;Maine-et-Loire
HÔTEL PREMIÈRE CLASSE BEAUCOUZÉ;Non classé;Hôtel;;;Avenue Paul Prosper Guilhem;;49070;BEAUCOUZE;;49020;47.46908;-0.61624;;;02 41 48 19 30;02 41 48 18 80;;https://angers-ouest-beaucouze.premiereclasse.com/fr-fr/;;;;;"Climatisation;WiFi";;Première Classe;;;;oui;;non;EV6-La Loire à Vélo;70;;3;;"Anglais;Français";;;;"01/01/2020||15/03/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;25/05/2020||31/12/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;;"Cartes bancaires;Chèques Vacances;Espèces;Virement";47.46908,-0.61624;Maine-et-Loire
SALEA HOTEL;3 étoiles;Hôtel;;;Les Gentelleries;Route de Nantes;44210;PORNIC;;44131;47.11176;-2.07268;;;02 28 53 00 22;02 28 53 01 24;;http://www.hotel-salea-pornic.com;;;;;"Parking privé;WiFi";;;;;;oui;;;;29;;2;;Anglais;oui;;oui;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;"Chambre double||65,00||90,00||;Petit-déjeuner / pers||8,50||8,50||;Taxe de séjour / nuit / pers||1,50||1,50||";"Cartes bancaires;Chèques Vacances;Espèces";47.11176,-2.07268;Loire-Atlantique
L'INTERNATIONAL;Non classé;Hôtel;Route Départementale 57;;;;53940;SAINT-BERTHEVIN;;53201;48.0721285;-0.8932883;;;02.43.68.93.77;02.43.58.15.98;;http://www.hotel-restaurant-international.fr/;;;;;;;;;;;;;non;;22;;;;;;;oui;;;;;;;48.0721285,-0.8932883;Mayenne
LE DÉBARCADÈRE;Non classé;Hôtel - Restaurant;;;Place Bougainville;;44250;SAINT-BREVIN-LES-PINS;;44154;47.26795;-2.1678;;;02 40 27 20 53;;;http://www.ledebarcadere44.fr/;;;;;"Restaurant;WiFi";;;;;;oui;;non;;6;;0;non;Anglais;non;;;01/01/2018||31/12/2018||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;"Chambre double||60,00||60,00||;Petit-déjeuner / pers||7,50||7,50||";"Cartes bancaires;Chèques Vacances;Espèces";47.26795,-2.1678;Loire-Atlantique
RELAIS & CHÂTEAUX CASTEL MARIE-LOUISE;5 étoiles;Hôtel - Restaurant;;;1 avenue Andrieu;BP 409;44500;LA BAULE-ESCOUBLAC;;44055;47.28107;-2.40793;;;02 40 11 48 38;02 40 11 48 35;;http://www.castel-marie-louise.com;;;;;"Espace bien-être;Garage privé;Parking privé;Restaurant;WiFi";;Relais et Châteaux;;;;oui;30€ par jour en chambre (acceptés en chambre, interdits au restaurant);;;31;;;oui;"Allemand;Anglais;Espagnol";oui;oui;;12/05/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces";47.28107,-2.40793;Loire-Atlantique
LES TENNIS MEN;2 étoiles;Hôtel;;;1 avenue de Lyon;;44500;LA BAULE-ESCOUBLAC;;44055;47.27893;-2.3638;;;02 40 60 24 04;02 40 60 66 32;;https://www.hotel-tennismen-labaule.fr/;;;;;WiFi;Qualité Tourisme;;;;;non;;;;16;;;oui;Anglais;;oui;;24/06/2022||07/09/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces";47.27893,-2.3638;Loire-Atlantique
HÔTEL-RESTAURANT LA PORTE ANGEVINE;2 étoiles;Hôtel - Restaurant;;;1 rue Roger Pironneau;Pouancé;49420;OMBRÉE D'ANJOU;;49248;47.7438677;-1.1662289;;;02 41 92 68 52;;;http://www.laporteangevine.com/;;Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g1586916-d3735190-Reviews-La_Porte_Angevine-Pouance_Maine_et_Loire_Pays_de_la_Loire.html;;;"Restaurant;WiFi";Qualité Tourisme;Contact hôtel;;;;oui;Supplément de 4€/jour;non;;19;0;0;oui;"Anglais;Français";oui;non;oui;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;LA PORTE ANGEVINE||02 41 92 68 52||laporteangevine@orange.fr;;;"Chambre single||60,00||60,00||;Chambre double||69,00||69,00||;Soirée étape affaires||78,00||78,00||;Petit-déjeuner / pers||7,00||7,00||;Taxe de séjour / nuit / pers||0,50||0,50||";"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces";47.7438677,-1.1662289;Maine-et-Loire
HÔTEL DE LA SAULAIE;3 étoiles;Hôtel;;;104 rue des Fougerons;49700 Doué-la-Fontaine - Doué-la-Fontaine;49700;DOUÉ-EN-ANJOU;;49125;47.183551;-0.245003;;;02 41 59 96 10;02 41 59 96 11;;http://www.hoteldelasaulaie.com;;"Facebook||https://www.facebook.com/interhotellasaulaie/;Google+||https://maps.google.com/?cid=5352446183508451416;Tripadvisor||https://www.tripadvisor.fr/Hotel_Review-g608799-d572901-Reviews-Hotel_de_la_Saulaie-Doue_la_Fontaine_Maine_et_Loire_Pays_de_la_Loire.html#REVIEWS";;;"Parking privé;Piscine;Restaurant;WiFi";Qualité Tourisme;The Originals Hotels;;;"Déficience mentale;Déficience moteur";oui;7 à 9€;oui;;44;4;3;oui;"Anglais;Français";oui;;oui;03/01/2022||16/12/2022||Lundi, Mardi, Mercredi, Jeudi, Vendredi, Samedi, Dimanche : ouvert||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;"Chambre double||64,00||109,00||Catégorie STANDARD à partir de 64€;Catégorie CONFORT à partir de 69€;Catégorie CONFORT JARDIN à partir de 79€;Petit-déjeuner / pers||9,50||14,50||Tarif Adulte à 9,50€ en buffet;Tarif Adulte à 14,50€ en chambre;Tarif Enfant à 5,50€ (moins de 10 ans);Suite||129,00||159,00||;Taxe de séjour / nuit / pers||1,20||1,20||";"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.183551,-0.245003;Maine-et-Loire
LE CASTEL MOOR;2 étoiles;Hôtel;;;12 avenue du Castouillet;;44490;LE CROISIC;;44049;47.30028;-2.53354;;;02 40 23 24 18;;;http://www.hotelcastelmoor.com;;;;;"Parking privé;WiFi";;;;;;oui;;;;18;;;oui;"Anglais;Espagnol";oui;;;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.30028,-2.53354;Loire-Atlantique
LES REMP'ARTS;2 étoiles;Hôtel - Restaurant;;;14-15 boulevard du Nord;;44350;GUERANDE;;44069;47.3282;-2.427;;;02 40 24 90 69;;;http://www.hoteldesremparts.com;;;;;"Restaurant;WiFi";;;;;;oui;;;;8;;;oui;Anglais;;;;01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Chambre double||49,00||89,00||;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces";47.3282,-2.427;Loire-Atlantique
HÔTEL DES MARAIS SALANTS;2 étoiles;Hôtel;;;22 rue de la Gare;;44740;BATZ-SUR-MER;;44010;47.28036;-2.47929;;;02 40 23 78 86;;;http://www.hotel-des-marais-salants.com;;;;;WiFi;Qualité Tourisme;;;;;non;Seuls les petits animaux de compagnie sont admis sur demande;;;10;;;oui;Anglais;;;;01/01/2020||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Chambre double||55,00||90,00||;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.28036,-2.47929;Loire-Atlantique
LE MARINA**;2 étoiles;Hôtel - Restaurant;;;26 avenue des Pins;;44380;PORNICHET;;44132;47.24693;-2.31695;;;02 40 61 02 66;;;http://www.lemarina.fr;;;;;"Parking privé;Restaurant;WiFi";;;;;;oui;accueil des animaux dans les chambres équipées de carrelage;non;;16;;;oui;Anglais;oui;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Tickets Restaurant;Virement";47.24693,-2.31695;Loire-Atlantique
LE RELAIS MARINE;2 étoiles;Hôtel - Restaurant;;;276 rue Centrale;Quimiac;44420;MESQUER;;44097;47.4054;-2.48194;;;02 40 42 51 09;02 40 42 56 47;;http://www.relaismarine.fr;;;;;"Restaurant;WiFi";;;;;;oui;;;;16;;;oui;Anglais;;;;"02/04/2021||01/11/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;02/04/2022||01/11/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;Chambre double||69,00||115,00||;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.4054,-2.48194;Loire-Atlantique
LES PLÉIADES;3 étoiles;Hôtel - Restaurant;;;28 boulevard du Docteur René Dubois;;44500;LA BAULE-ESCOUBLAC;;44055;47.28085;-2.38334;;;02 51 75 06 06;02 40 60 94 07;;http://www.les-pleiades.com;;;;;"Climatisation;Garage privé;Parking privé;Piscine couverte;Restaurant;WiFi";;;;;;non;;;;54;;;oui;Anglais;oui;oui;;04/06/2022||27/11/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Chambre double||72,00||144,00||;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.28085,-2.38334;Loire-Atlantique
MONA LISA;3 étoiles;Hôtel;;;42 avenue Georges Clemenceau;;44500;LA BAULE-ESCOUBLAC;;44055;47.28776;-2.38754;;;02 40 60 21 33;02 40 42 72 46;;http://www.hotelmonalisa-labaule.com;;;;;WiFi;;;;;;non;;;;16;;;oui;"Allemand;Anglais;Espagnol";;oui;;"01/01/2022||23/01/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;01/03/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;;"Cartes bancaires;Chèques Vacances;Espèces;Virement";47.28776,-2.38754;Loire-Atlantique
ALLIANCE PORNIC - HOTEL THALASSO & SPA;4 étoiles;Hôtel - Restaurant;;;Plage de la Source;;44210;PORNIC;;44131;47.10743;-2.09721;;06 25 82 33 97;02 40 82 21 21;02 40 82 96 08;;http://www.thalassopornic.com;;;;;"Espace bien-être;Parking privé;Piscine;Restaurant;Salle de sport;WiFi";;;;;;non;;non;;120;;5;oui;"Allemand;Anglais;Espagnol";oui;;;"01/01/2022||03/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;18/12/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;"Chambre double||245,00||610,00||;Taxe de séjour / nuit / pers||2,10||2,10||";"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces";47.10743,-2.09721;Loire-Atlantique
LE MAS DES MARAIS;Non classé;Hôtel;;;Route de Challans;Le Baril;44270;MACHECOUL-SAINT-MEME;;44087;46.9168787;-1.886785;;;02 28 07 61 86;;;https://www.lemasdesmarais.com/;;;;;Parking privé;;;;;;oui;;non;;19;1;;oui;;oui;;oui;;;;;;;46.9168787,-1.886785;Vendée
LES EMBRUNS;2 étoiles;Hôtel;;;Route de Saint Nudec;;44740;BATZ-SUR-MER;;44010;47.28402;-2.50353;;;02 40 23 83 33;02 40 23 84 02;;http://www.hotel-les-embruns44.fr;;;;;"Parking privé;WiFi";;;;;;oui;Chiens de petite taille et chats;;;19;;;oui;"Anglais;Espagnol";;oui;;01/01/2020||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Chambre double||65,00||110,00||;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.28402,-2.50353;Loire-Atlantique
CÔTÉ LAC;2 étoiles;Hôtel - Restaurant;;;Route du Lac;Pôle de Loisirs du Lac;44260;SAVENAY;;44195;47.357386;-1.920105;;;02 40 95 65 16;;;http://www.savenaycotelac.fr;;Facebook||https://fr-fr.facebook.com/savenaycotelac/;;;"Parking privé;Restaurant;WiFi";;Logis;;"2 cheminées;3 cocottes";;oui;;non;;9;;0;oui;"Anglais;Espagnol;Français";oui;;oui;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Tickets Restaurant";47.357386,-1.920105;Loire-Atlantique
HÔTEL BRIT HOTEL SAUMUR SUD;3 étoiles;Hôtel;;;Rue de l'Avenir;ZAC du Champ Blanchard;49400;DISTRE;;49123;47.23127;-0.118961;;;02 41 40 70 40;;;https://www.brithotel.fr/pays-de-la-loire/maine-et-loire/saumur;;"Tripadvisor||;Google+||https://maps.google.com/?cid=4476715487705052386;Tripadvisor||https://www.tripadvisor.fr/Hotel_Review-g1067658-d1068113-Reviews-Brit_Hotel_Saumur-Distre_Maine_et_Loire_Pays_de_la_Loire.html";;;"Climatisation;Parking privé;WiFi";Qualité Tourisme;Brithôtel;;;;oui;5.5€;non;;31;4;2;oui;"Anglais;Français";;oui;oui;"03/01/2022||18/12/2022||Lundi, Mardi, Mercredi, Jeudi, Vendredi, Samedi, Dimanche : ouvert;;Check-in de 14h à 22h ou nous appeler si arrivée en dehors des horaires d'ouverture.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;||http://resa.ot-saumur.fr/reserver/hotel/zsbrithotel.html||||02 41 40 20 60||resa@ot-saumur.fr;oui;"Chambre double||57,00||70,00||;Petit-déjeuner / pers||8,50||8,50||";"Cartes bancaires;Chèques Vacances;Espèces;Virement";47.23127,-0.118961;Maine-et-Loire
AL TEST VIT 4;Non classé;Hôtel;champ adresse 1;complément d'adresse;104 rue baudrière;;49100;ANGERS;;49007;47.4713041;-0.5546279;;;0320202020;;;https://www.faire-savoir.com;;Facebook||https://www.facebook.com/OLIVARIUS-ApartHotels-117815074923091/;;;"Climatisation;Local vélo;Parking privé;Piscine couverte;Tennis;WiFi";;"B and B;Brithôtel;Fasthôtel;Ibis Style;Les Hôtels Particuliers";;;"Déficience mentale;Déficience moteur";oui;;oui;;2;1;1;oui;"Anglais;Espagnol;Français;Italien";non;oui;;||||||||09:00||12:30||14:00||18:00||09:00||12:30||14:00||18:00||09:00||12:30||14:00||18:00||09:00||12:30||14:00||18:00||09:00||12:30||14:00||18:00||09:00||12:30||14:00||18:00||09:00||12:30||14:00||18:00;contact résa||||contactresa@test.fr;;;"Chambre double||120,00||150,00||Attention il faut être 2 pour un lit double;Taxe de séjour / nuit / pers||1,00||1,00||;Chambre single||60,00||80,00||Attention, il faut être seul pour 1 lit simple";"Cartes bancaires;Chèques Vacances;Espèces";47.4713041,-0.5546279;Maine-et-Loire
HOSTELLERIE DE LA GABELLE;3 étoiles;Hôtel - Restaurant;;;10 Quai de la Loire;SAINT-FLORENT-LE-VIEIL;49410;MAUGES-SUR-LOIRE;;49244;47.36392;-1.01383;Autoroute||A11 E60 SORTIE 20||19;;02 41 72 50 19;;;http://www.lagabelle.com;;"Tripadvisor||http://www.tripadvisor.fr/Restaurant_Review-g1944312-d3462238-Reviews-La_Gabelle-Saint_Florent_le_Vieil_Maine_et_Loire_Pays_de_la_Loire.html;Facebook||https://www.facebook.com/hotelleriedelagabelle";;"<div id=""TA_selfserveprop643"" class=""TA_selfserveprop"">;<ul id=""iEQsgIf"" class=""TA_links sS0hH98DxG9"">;<li id=""hzh1Pk"" class=""RDQlhRW16CdX"">;<a target=""_blank"" href=""https://www.tripadvisor.fr/""><img src=""https://www.tripadvisor.fr/img/cdsi/img2/branding/150_logo-11900-2.png"" alt=""TripAdvisor""/></a>;</li>;</ul>;</div>;<script src=""https://www.jscache.com/wejs?wtype=selfserveprop&amp;uniq=643&amp;locationId=6997873&amp;lang=fr&amp;rating=true&amp;nreviews=4&amp;writereviewlink=true&amp;popIdx=true&amp;iswide=true&amp;border=true&amp;display_version=2""></script>;";"Restaurant;WiFi";"Accueil Vélo;La Loire à vélo";;;;;non;;non;EV6-La Loire à Vélo;14;1;1;oui;"Anglais;Français";oui;non;oui;01/01/2022||31/12/2022||Arrivée possible dès 13h, départ au plus tard à 11h.||Fermé pour congés du 31/10 au 15/11/2022||07:00||||||23:00||07:00||||||23:00||07:00||||||23:00||07:00||||||23:00||07:00||||||23:00||07:00||||||23:00||07:00||||||23:00;Hostellerie de la Gabelle||02 41 72 50 19||hotel.gabelle@orange.fr;||https://www.lagabelle.com/fr/l-hotel#resa||||||;oui;"Chambre double||75,00||80,00||;Demi-pension||130,00||130,00||";"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces";47.36392,-1.01383;Maine-et-Loire
SOZO HOTEL;4 étoiles;Hôtel;;;16 rue Frédéric Cailliaud;;44000;NANTES;;44109;47.2200409;-1.5410263;"Aéroport/aérodrome||AEROPORT NANTES ATLANTIQUE||8,24622;Gare SNCF||Gare SNCF - accès Nord||0,255919;Gare SNCF||Gare SNCF - accès Sud||0,412882;Aéroport/aérodrome||||8,24622;Gare maritime||||2,89193";;02 51 82 40 00;;;https://www.sozohotel.fr;;Facebook||https://www.facebook.com/sozohotel;;;"Climatisation;Espace bien-être;Parking privé;WiFi";Clef Verte;;;;;non;;non;;24;;3;oui;"Anglais;Espagnol;Français";oui;oui;oui;;Réception||02 51 82 40 00||reception@sozohotel.fr;;;;"Cartes bancaires;Chèques Vacances;Espèces;Virement";47.2200409,-1.5410263;Loire-Atlantique
HÔTEL-RESTAURANT L'ESPLANADE;Non classé;Hôtel - Restaurant;11 Quai du Dr André Provost;;;;44640;LE PELLERIN;;44120;47.200228;-1.75346;"Aéroport/aérodrome||Aéroport de Nantes Atlantique||12,3862;Gare maritime||||13,4766;Gare SNCF||Gare SNCF - accès Nord||15,8813;Gare SNCF||Gare SNCF - accès Sud||15,9225";;02 40 04 68 14;;;http://www.hotel-lesplanade.fr;;"Facebook||https://www.facebook.com/LesplanadeHR/;Instagram||https://www.instagram.com/Lesplanade44/";;;"Local vélo;Restaurant;WiFi";Rando Accueil;;;;;oui;;non;;17;2;1;oui;"Anglais;Français";non;non;oui;||||||||||||||||07:00||19:00||||||07:00||19:00||||||07:00||19:00||||||07:00||22:30||||||07:00||22:30||||||07:00||17:00||||;;||https://www.hotel-lesplanade.fr||||02 40 04 68 14||contact@hotel-lesplanade.fr;oui;;"Cartes bancaires;Chèques Vacances;Espèces;Tickets Restaurant";47.200228,-1.75346;Loire-Atlantique
